Jaeger Enten mu sigma^2
1 10 9 8019 
2 10 8.1 6568.29 
3 10 7.29 5385.92 
4 10 6.561 4421.65 
5 10 5.9049 3634.68 
6 10 5.31441 2991.92 
7 10 4.78297 2466.5 
8 10 4.30467 2036.61 
9 10 3.8742 1684.52 
10 10 3.48678 1395.84 
11 10 3.13811 1158.88 
12 10 2.8243 964.108 
13 10 2.54187 803.804 
14 10 2.28768 671.671 
15 10 2.05891 562.583 
16 10 1.85302 472.37 
17 10 1.66772 397.629 
18 10 1.50095 335.588 
19 10 1.35085 283.984 
20 10 1.21577 240.969 
21 10 1.09419 205.032 
22 10 0.984771 174.939 
23 10 0.886294 149.677 
24 10 0.797664 128.418 
25 10 0.717898 110.479 
26 10 0.646108 95.3033 
27 10 0.581497 82.4292 
28 10 0.523348 71.4777 
29 10 0.471013 62.1361 
30 10 0.423912 54.1454 
31 10 0.38152 47.2915 
32 10 0.343368 41.3964 
33 10 0.309032 36.3124 
34 10 0.278128 31.9162 
35 10 0.250316 28.105 
36 10 0.225284 24.7926 
37 10 0.202756 21.9068 
38 10 0.18248 19.3868 
39 10 0.164232 17.1814 
40 10 0.147809 15.2472 
41 10 0.133028 13.5475 
42 10 0.119725 12.051 
43 10 0.107753 10.7311 
44 10 0.0969774 9.56497 
45 10 0.0872796 8.53315 
46 10 0.0785517 7.61881 
47 10 0.0706965 6.80751 
48 10 0.0636269 6.08672 
49 10 0.0572642 5.44562 
50 10 0.0515378 4.87479 
51 10 0.046384 4.36604 
52 10 0.0417456 3.9122 
53 10 0.037571 3.50702 
54 10 0.0338139 3.14501 
55 10 0.0304325 2.82135 
56 10 0.0273893 2.5318 
57 10 0.0246503 2.27261 
58 10 0.0221853 2.04048 
59 10 0.0199668 1.83249 
60 10 0.0179701 1.64605 
61 10 0.0161731 1.47886 
62 10 0.0145558 1.32888 
63 10 0.0131002 1.19429 
64 10 0.0117902 1.07349 
65 10 0.0106112 0.965026 
66 10 0.00955005 0.867622 
67 10 0.00859504 0.780129 
68 10 0.00773554 0.701524 
69 10 0.00696199 0.630893 
70 10 0.00626579 0.567415 
71 10 0.00563921 0.510359 
72 10 0.00507529 0.459068 
73 10 0.00456776 0.412955 
74 10 0.00411098 0.371493 
75 10 0.00369988 0.334208 
76 10 0.0033299 0.300678 
77 10 0.00299691 0.270521 
78 10 0.00269722 0.243397 
79 10 0.00242749 0.218999 
80 10 0.00218475 0.197052 
81 10 0.00196627 0.177308 
82 10 0.00176964 0.159547 
83 10 0.00159268 0.143567 
84 10 0.00143341 0.12919 
85 10 0.00129007 0.116254 
86 10 0.00116106 0.104616 
87 10 0.00104496 0.0941433 
88 10 0.000940461 0.0847202 
89 10 0.000846415 0.0762411 
90 10 0.000761773 0.0686113 
91 10 0.000685596 0.0617455 
92 10 0.000617037 0.0555672 
93 10 0.000555333 0.0500074 
94 10 0.0004998 0.0450042 
95 10 0.00044982 0.0405018 
96 10 0.000404838 0.03645 
97 10 0.000364354 0.0328037 
98 10 0.000327919 0.0295222 
99 10 0.000295127 0.0265692 
100 10 0.000265614 0.0239115 
101 10 0.000239053 0.0215198 
102 10 0.000215147 0.0193674 
103 10 0.000193633 0.0174303 
104 10 0.000174269 0.0156869 
105 10 0.000156842 0.014118 
106 10 0.000141158 0.012706 
107 10 0.000127042 0.0114352 
108 10 0.000114338 0.0102916 
109 10 0.000102904 0.00926233 
110 10 9.26139e-05 0.00833601 
111 10 8.33525e-05 0.00750234 
112 10 7.50172e-05 0.00675205 
113 10 6.75155e-05 0.0060768 
114 10 6.0764e-05 0.00546909 
115 10 5.46876e-05 0.00492215 
116 10 4.92188e-05 0.00442991 
117 10 4.42969e-05 0.0039869 
118 10 3.98672e-05 0.00358819 
119 10 3.58805e-05 0.00322936 
120 10 3.22925e-05 0.00290641 
121 10 2.90632e-05 0.00261576 
122 10 2.61569e-05 0.00235418 
123 10 2.35412e-05 0.00211876 
124 10 2.11871e-05 0.00190688 
125 10 1.90684e-05 0.00171619 
126 10 1.71615e-05 0.00154456 
127 10 1.54454e-05 0.00139011 
128 10 1.39008e-05 0.00125109 
129 10 1.25108e-05 0.00112598 
130 10 1.12597e-05 0.00101338 
131 10 1.01337e-05 0.000912044 
132 10 9.12034e-06 0.000820838 
133 10 8.20831e-06 0.000738754 
134 10 7.38748e-06 0.000664878 
135 10 6.64873e-06 0.00059839 
136 10 5.98386e-06 0.00053855 
137 10 5.38547e-06 0.000484695 
138 10 4.84693e-06 0.000436225 
139 10 4.36223e-06 0.000392603 
140 10 3.92601e-06 0.000353342 
141 10 3.53341e-06 0.000318008 
142 10 3.18007e-06 0.000286207 
143 10 2.86206e-06 0.000257586 
144 10 2.57585e-06 0.000231828 
145 10 2.31827e-06 0.000208645 
146 10 2.08644e-06 0.00018778 
147 10 1.8778e-06 0.000169002 
148 10 1.69002e-06 0.000152102 
149 10 1.52102e-06 0.000136892 
150 10 1.36891e-06 0.000123202 
151 10 1.23202e-06 0.000110882 
152 10 1.10882e-06 9.9794e-05 
153 10 9.97939e-07 8.98146e-05 
154 10 8.98145e-07 8.08331e-05 
155 10 8.0833e-07 7.27498e-05 
156 10 7.27497e-07 6.54748e-05 
157 10 6.54748e-07 5.89273e-05 
158 10 5.89273e-07 5.30346e-05 
159 10 5.30346e-07 4.77311e-05 
160 10 4.77311e-07 4.2958e-05 
161 10 4.2958e-07 3.86622e-05 
162 10 3.86622e-07 -nan 
163 10 3.4796e-07 -nan 
164 10 3.13164e-07 -nan 
165 10 2.81847e-07 -nan 
166 10 2.53663e-07 -nan 
167 10 2.28296e-07 -nan 
168 10 2.05467e-07 -nan 
169 10 1.8492e-07 -nan 
170 10 1.66428e-07 -nan 
171 10 1.49785e-07 -nan 
172 10 1.34807e-07 -nan 
173 10 1.21326e-07 -nan 
174 10 1.09193e-07 -nan 
175 10 9.82741e-08 -nan 
176 10 8.84467e-08 -nan 
177 10 7.9602e-08 -nan 
178 10 7.16418e-08 -nan 
179 10 6.44776e-08 -nan 
180 10 5.80299e-08 -nan 
181 10 5.22269e-08 -nan 
182 10 4.70042e-08 -nan 
183 10 4.23038e-08 -nan 
184 10 3.80734e-08 -nan 
185 10 3.42661e-08 -nan 
186 10 3.08395e-08 -nan 
187 10 2.77555e-08 -nan 
188 10 2.498e-08 -nan 
189 10 2.2482e-08 -nan 
190 10 2.02338e-08 -nan 
191 10 1.82104e-08 -nan 
192 10 1.63894e-08 -nan 
193 10 1.47504e-08 -nan 
194 10 1.32754e-08 -nan 
195 10 1.19478e-08 -nan 
196 10 1.07531e-08 -nan 
197 10 9.67775e-09 -nan 
198 10 8.70997e-09 -nan 
199 10 7.83898e-09 -nan 
200 10 7.05508e-09 -nan 
